"work_year","experience_level","employment_type","company_location","company_size","job_category","salary_eur_harmonized"
2025,"MI","FT","US","M","Data Analyst","129960.00"
2025,"MI","FT","US","M","Data Analyst","75525.00"
2025,"SE","FT","US","M","Data Analyst","113696.95"
2025,"SE","FT","US","M","Data Analyst","68907.30"
2025,"SE","FT","US","M","Data Analyst","207575.00"
2025,"SE","FT","US","M","Data Analyst","99750.00"
2025,"MI","FT","US","M","Data Analyst","154660.00"
2025,"MI","FT","US","M","Data Analyst","92815.00"
2025,"MI","FT","US","M","Data Analyst","154660.00"
2025,"MI","FT","US","M","Data Analyst","92815.00"
2025,"MI","FT","US","M","Data Analyst","58900.00"
2025,"MI","FT","US","M","Data Analyst","41800.00"
2025,"MI","FT","US","M","Data Analyst","109725.00"
2025,"MI","FT","US","M","Data Analyst","93266.25"
2025,"SE","FT","US","M","Data Analyst","220400.00"
2025,"SE","FT","US","M","Data Analyst","122550.00"
2025,"SE","FT","US","M","Data Analyst","80750.00"
2025,"SE","FT","US","M","Data Analyst","66500.00"
2025,"MI","FT","US","M","Data Analyst","171950.00"
2025,"MI","FT","US","M","Data Analyst","119700.00"
2025,"EN","FT","FR","M","Data Analyst","70823.45"
2025,"EN","FT","FR","M","Data Analyst","70823.45"
2025,"EX","FT","US","M","Data Analyst","175750.00"
2025,"EX","FT","US","M","Data Analyst","135850.00"
2025,"MI","FT","CA","M","Data Analyst","65550.00"
2025,"MI","FT","CA","M","Data Analyst","55100.00"
2025,"SE","FT","US","M","Data Analyst","166250.00"
2025,"SE","FT","US","M","Data Analyst","152000.00"
2025,"EN","FT","FR","M","Data Analyst","70823.45"
2025,"EN","FT","FR","M","Data Analyst","70823.45"
2025,"MI","FT","US","M","Data Analyst","85500.00"
2025,"MI","FT","US","M","Data Analyst","66500.00"
2025,"MI","FT","US","M","Data Analyst","100829.20"
2025,"MI","FT","US","M","Data Analyst","66582.65"
2025,"SE","FT","US","M","Data Analyst","85500.00"
2025,"SE","FT","US","M","Data Analyst","71250.00"
2025,"EX","FT","US","M","Data Analyst","145635.00"
2025,"EX","FT","US","M","Data Analyst","127300.00"
2025,"SE","FT","US","M","Data Analyst","80750.00"
2025,"SE","FT","US","M","Data Analyst","66500.00"
2025,"SE","FT","US","M","Data Analyst","174610.00"
2025,"SE","FT","US","M","Data Analyst","104785.00"
2025,"SE","FT","US","M","Data Analyst","192850.00"
2025,"SE","FT","US","M","Data Analyst","95950.00"
2025,"SE","FT","US","M","Data Analyst","155800.00"
2025,"SE","FT","US","M","Data Analyst","77900.00"
2025,"MI","FT","US","M","Data Analyst","90250.00"
2025,"MI","FT","US","M","Data Analyst","80750.00"
2025,"SE","FT","CA","M","Data Analyst","108300.00"
2025,"SE","FT","CA","M","Data Analyst","65550.00"
2025,"SE","FT","US","M","Data Analyst","157700.00"
2025,"SE","FT","US","M","Data Analyst","82650.00"
2025,"SE","FT","CA","M","Data Analyst","133570.00"
2025,"SE","FT","CA","M","Data Analyst","89110.00"
2025,"MI","FT","US","M","Data Analyst","95000.00"
2025,"MI","FT","US","M","Data Analyst","71250.00"
2025,"SE","FT","US","M","Data Analyst","114000.00"
2025,"SE","FT","US","M","Data Analyst","80750.00"
2025,"MI","FT","US","M","Data Analyst","119700.00"
2025,"MI","FT","US","M","Data Analyst","52535.00"
2025,"SE","FT","US","M","Data Analyst","110870.70"
2025,"SE","FT","US","M","Data Analyst","66522.80"
2025,"MI","FT","US","M","Data Analyst","82428.65"
2025,"MI","FT","US","M","Data Analyst","57282.15"
2025,"MI","FT","US","M","Data Analyst","180120.00"
2025,"MI","FT","US","M","Data Analyst","85785.00"
2025,"MI","FT","US","M","Data Analyst","161500.00"
2025,"MI","FT","US","M","Data Analyst","115900.00"
2025,"SE","FT","US","L","Data Analyst","122360.00"
2025,"SE","FT","US","L","Data Analyst","57190.00"
2025,"MI","FT","US","M","Data Analyst","124815.75"
2025,"MI","FT","US","M","Data Analyst","83210.50"
2025,"SE","FT","US","M","Data Analyst","142386.00"
2025,"SE","FT","US","M","Data Analyst","61725.30"
2025,"MI","FT","US","M","Data Analyst","142500.00"
2025,"MI","FT","US","M","Data Analyst","128250.00"
2025,"SE","FT","US","M","Data Analyst","121600.00"
2025,"SE","FT","US","M","Data Analyst","109250.00"
2025,"SE","FT","US","M","Data Analyst","170050.00"
2025,"SE","FT","US","M","Data Analyst","106400.00"
2025,"MI","FT","US","M","Data Analyst","71250.00"
2025,"MI","FT","US","M","Data Analyst","52250.00"
2025,"MI","FT","US","M","Data Analyst","70681.90"
2025,"MI","FT","US","M","Data Analyst","49400.00"
2025,"SE","FT","US","M","Data Analyst","157700.00"
2025,"SE","FT","US","M","Data Analyst","157700.00"
2025,"MI","FT","US","M","Data Analyst","82992.00"
2025,"MI","FT","US","M","Data Analyst","55328.00"
2025,"MI","FT","US","M","Data Analyst","117800.00"
2025,"MI","FT","US","M","Data Analyst","100130.00"
2025,"SE","FT","US","M","Data Analyst","140600.00"
2025,"SE","FT","US","M","Data Analyst","140600.00"
2025,"SE","FT","US","M","Data Analyst","174325.00"
2025,"SE","FT","US","M","Data Analyst","84930.00"
2025,"SE","FT","US","M","Data Analyst","117800.00"
2025,"SE","FT","US","M","Data Analyst","117800.00"
2025,"SE","FT","US","M","Data Analyst","135090.00"
2025,"SE","FT","US","M","Data Analyst","114997.50"
2025,"MI","FT","US","M","Data Analyst","228760.00"
2025,"MI","FT","US","M","Data Analyst","183730.00"
2025,"SE","FT","CA","M","Data Analyst","118085.00"
2025,"SE","FT","CA","M","Data Analyst","103455.00"
2025,"SE","FT","US","M","Data Analyst","114000.00"
2025,"SE","FT","US","M","Data Analyst","95000.00"
2025,"SE","FT","US","M","Data Analyst","187530.00"
2025,"SE","FT","US","M","Data Analyst","150670.00"
2025,"SE","FT","US","M","Data Analyst","131100.00"
2025,"SE","FT","US","M","Data Analyst","81700.00"
2025,"MI","FT","US","M","Data Analyst","94050.00"
2025,"MI","FT","US","M","Data Analyst","52345.00"
2025,"SE","FT","US","M","Data Analyst","133000.00"
2025,"SE","FT","US","M","Data Analyst","66500.00"
2025,"SE","FT","US","M","Data Analyst","131100.00"
2025,"SE","FT","US","M","Data Analyst","76950.00"
2025,"SE","FT","US","M","Data Analyst","157320.00"
2025,"SE","FT","US","M","Data Analyst","85595.00"
2025,"MI","FT","GB","M","Data Analyst","54113.90"
2025,"MI","FT","GB","M","Data Analyst","48100.40"
2025,"MI","FT","US","M","Data Analyst","91200.00"
2025,"MI","FT","US","M","Data Analyst","64600.00"
2025,"SE","FT","US","M","Data Analyst","192850.00"
2025,"SE","FT","US","M","Data Analyst","95950.00"
2025,"MI","FT","US","M","Data Analyst","120175.00"
2025,"MI","FT","US","M","Data Analyst","87400.00"
2025,"MI","FT","US","M","Data Analyst","95427.50"
2025,"MI","FT","US","M","Data Analyst","48687.50"
2025,"SE","FT","US","M","Data Analyst","121600.00"
2025,"SE","FT","US","M","Data Analyst","67450.00"
2025,"SE","FT","US","M","Data Analyst","121457.50"
2025,"SE","FT","US","M","Data Analyst","72580.00"
2025,"MI","FT","US","M","Data Analyst","167200.00"
2025,"MI","FT","US","M","Data Analyst","117800.00"
2025,"SE","FT","US","M","Data Analyst","95000.00"
2025,"SE","FT","US","M","Data Analyst","76000.00"
2025,"SE","FT","US","M","Data Analyst","297402.25"
2025,"SE","FT","US","M","Data Analyst","254916.35"
2025,"SE","FT","GB","M","Data Analyst","90189.20"
2025,"SE","FT","GB","M","Data Analyst","72151.55"
2025,"SE","FT","US","M","Data Analyst","123500.00"
2025,"SE","FT","US","M","Data Analyst","95000.00"
2025,"MI","FT","US","M","Data Analyst","167200.00"
2025,"MI","FT","US","M","Data Analyst","104500.00"
2025,"SE","FT","US","M","Data Analyst","150765.00"
2025,"SE","FT","US","M","Data Analyst","110105.00"
2025,"SE","FT","US","M","Data Analyst","194750.00"
2025,"SE","FT","US","M","Data Analyst","91200.00"
2025,"MI","FT","US","M","Data Analyst","129960.00"
2025,"MI","FT","US","M","Data Analyst","75525.00"
2025,"SE","FT","US","M","Data Analyst","95000.00"
2025,"SE","FT","US","M","Data Analyst","76000.00"
2025,"SE","FT","US","M","Data Analyst","142690.00"
2025,"SE","FT","US","M","Data Analyst","76760.00"
2025,"MI","FT","US","M","Data Analyst","124165.00"
2025,"MI","FT","US","M","Data Analyst","105540.25"
2025,"MI","FT","US","M","Data Analyst","124450.00"
2025,"MI","FT","US","M","Data Analyst","82650.00"
2025,"MI","FT","US","M","Data Analyst","101064.80"
2025,"MI","FT","US","M","Data Analyst","70745.55"
2025,"SE","FT","US","M","Data Analyst","126629.30"
2025,"SE","FT","US","M","Data Analyst","88640.70"
2025,"MI","FT","US","M","Data Analyst","101064.80"
2025,"MI","FT","US","M","Data Analyst","70745.55"
2025,"MI","FT","US","M","Data Analyst","83600.00"
2025,"MI","FT","US","M","Data Analyst","66500.00"
2025,"MI","FT","US","M","Data Analyst","134976.00"
2025,"MI","FT","US","M","Data Analyst","57285.00"
2025,"SE","FT","US","M","Data Analyst","183540.00"
2025,"SE","FT","US","M","Data Analyst","104880.00"
2025,"SE","FT","US","M","Data Analyst","123500.00"
2025,"SE","FT","US","M","Data Analyst","99750.00"
2025,"MI","FT","US","M","Data Analyst","94050.00"
2025,"MI","FT","US","M","Data Analyst","62700.00"
2025,"SE","FT","US","M","Data Analyst","177935.00"
2025,"SE","FT","US","M","Data Analyst","95285.00"
2025,"SE","FT","US","M","Data Analyst","90994.80"
2025,"SE","FT","US","M","Data Analyst","60663.20"
2025,"SE","FT","GB","M","Data Analyst","74266.25"
2025,"SE","FT","GB","M","Data Analyst","60430.45"
2025,"MI","FT","GB","M","Data Analyst","58710.00"
2025,"MI","FT","GB","M","Data Analyst","49380.05"
2025,"SE","FT","US","M","Data Analyst","134900.00"
2025,"SE","FT","US","M","Data Analyst","80940.00"
2025,"SE","FT","US","M","Data Analyst","141360.00"
2025,"SE","FT","US","M","Data Analyst","85500.00"
2025,"SE","FT","US","M","Data Analyst","170240.00"
2025,"SE","FT","US","M","Data Analyst","81985.00"
2025,"SE","FT","US","M","Data Analyst","123500.00"
2025,"SE","FT","US","M","Data Analyst","114000.00"
2025,"EX","FT","US","M","Data Analyst","80750.00"
2025,"EX","FT","US","M","Data Analyst","71250.00"
2025,"EN","FT","CA","M","Data Analyst","125577.65"
2025,"EN","FT","CA","M","Data Analyst","70603.05"
2025,"SE","FT","US","M","Data Analyst","114000.00"
2025,"SE","FT","US","M","Data Analyst","87400.00"
2025,"MI","FT","US","M","Data Analyst","94050.00"
2025,"MI","FT","US","M","Data Analyst","62700.00"
2025,"MI","FT","US","M","Data Analyst","119700.00"
2025,"MI","FT","US","M","Data Analyst","64600.00"
2025,"EN","FT","NL","M","Data Analyst","34999.90"
2025,"EN","FT","NL","M","Data Analyst","34999.90"
2025,"MI","FT","US","M","Data Analyst","78251.50"
2025,"MI","FT","US","M","Data Analyst","56078.50"
2025,"SE","FT","US","M","Data Analyst","179208.00"
2025,"SE","FT","US","M","Data Analyst","119472.00"
2025,"SE","FT","US","M","Data Analyst","131480.00"
2025,"SE","FT","US","M","Data Analyst","98230.00"
2025,"SE","FT","CA","M","Data Analyst","133570.00"
2025,"SE","FT","CA","M","Data Analyst","89110.00"
2025,"MI","FT","US","M","Data Analyst","166250.00"
